Specific Class,Frequency,Avg Confidence,Priority Score
DoS Attack,0.4405076585400392,0.4387703926601174,0.4392915724240939
Spoofing RPM,0.3238889806707418,0.32428462258681495,0.324165930011993
Spoofing STEERING WHEEL,0.11782233131151024,0.1187125704339617,0.11844549869722626
Spoofing SPEED,0.11778102947770881,0.11823241431910601,0.11809699886668684
